row-column,h1,h2,h3,h4
5-5,6.9826591879696664,2.488451193351794,2.20732593683363,6.701533931451502
5-6,6.701533931451502,2.20732593683363,2.488451193351794,6.9826591879696664
5-7,6.4210729772733695,1.9268649826554975,2.768912147529927,7.263120142147799
5-8,6.142584197799912,1.64837620318204,3.0474009270033844,7.541608921621257
5-9,5.867314940812113,1.3731069461942416,3.3226701839911836,7.8168781786090555
5-10,5.596417000764112,1.1022090061462402,3.5935681240391846,8.087776118657057
6-1,8.325035166821653,3.356309075874587,0.8649499579816426,5.83367604892871
6-2,8.054137226773653,3.085411135826586,1.135847898029644,6.1045739889767106
6-3,7.778867969785854,2.810141878838787,1.4111171550174424,6.379843245964509
6-4,7.500379190312397,2.5316530993653297,1.6896059344909,6.658332025437967
6-5,7.219918236134264,2.2511921451871966,1.9700668886690327,6.9387929796161
6-6,6.9387929796161,1.9700668886690327,2.2511921451871966,7.219918236134264
6-7,6.658332025437967,1.6896059344909,2.5316530993653297,7.500379190312397
6-8,6.379843245964509,1.4111171550174424,2.810141878838787,7.778867969785854
6-9,6.1045739889767106,1.135847898029644,3.085411135826586,8.054137226773653
6-10,5.83367604892871,0.8649499579816426,3.356309075874587,8.325035166821653
7-1,8.5540034823942,3.1273407603020402,0.6359816424090958,6.062644364501256
7-2,8.283105542346199,2.8564428202540393,0.9068795824570972,6.333542304549258
7-3,8.007836285358401,2.58117356326624,1.1821488394448956,6.608811561537056
7-4,7.7293475058849435,2.302684783792783,1.4606376189183532,6.887300341010514
7-5,7.448886551706811,2.0222238296146497,1.7410985730964859,7.1677612951886465
7-6,7.1677612951886465,1.7410985730964859,2.0222238296146497,7.448886551706811
7-7,6.887300341010514,1.4606376189183532,2.302684783792783,7.7293475058849435
7-8,6.608811561537056,1.1821488394448956,2.58117356326624,8.007836285358401
7-9,6.333542304549258,0.9068795824570972,2.8564428202540393,8.283105542346199
7-10,6.062644364501256,0.6359816424090958,3.1273407603020402,8.5540034823942
8-1,8.774509433972632,2.9068348087236098,0.4154756908306654,6.283150316079687
8-2,8.50361149392463,2.635936868675609,0.6863736308786668,6.554048256127688
8-3,8.228342236936832,2.3606676116878096,0.9616428878664651,6.829317513115487
8-4,7.949853457463374,2.0821788322143524,1.2401316673399227,7.107806292588944
8-5,7.669392503285241,1.8017178780362193,1.5205926215180554,7.388267246767077
8-6,7.388267246767077,1.5205926215180554,1.8017178780362193,7.669392503285241
8-7,7.107806292588944,1.2401316673399227,2.0821788322143524,7.949853457463374
8-8,6.829317513115487,0.9616428878664651,2.3606676116878096,8.228342236936832
8-9,6.554048256127688,0.6863736308786668,2.635936868675609,8.50361149392463
8-10,6.283150316079687,0.4154756908306654,2.9068348087236098,8.774509433972632
9-1,8.986492242596077,2.6948520001001643,0.20349288220721995,6.495133124703131
9-2,8.715594302548075,2.4239540600521634,0.4743908222552218,6.766031064751133
9-3,8.440325045560275,2.148684803064365,0.7496600792430206,7.041300321738932
9-4,8.16183626608682,1.8701960235909074,1.0281488587164778,7.31978910121239
